title,price,img,dispatch,sku
"
Hills Prescription Diet J/D Dog Food »
Dry » 5kg Bag
",£33.07,http:,"
 Estimated dispatch within 2 working days.
",110329
"
Hills Prescription Diet J/D Dog Food »
Dry » 12kg Bag
",£54.66,http:,"
 Estimated dispatch within 24 working hours.
",117677
"
Hills Prescription Diet J/D Dog Food »
Mini Dry » 2kg Bag
",£15.10,http:,"
 Estimated dispatch within 2 working days.
",117195
"
Hills Prescription Diet J/D Dog Food »
Mini Dry » 5kg Bag
",£32.45,http:,"
 Estimated dispatch within 24 working hours.
",117196
"
Hills Prescription Diet J/D Dog Food »
Reduced Calorie Dry » 4kg Bag
",£26.38,http:,"
 Estimated dispatch within 24 working hours.
",110334
"
Hills Prescription Diet J/D Dog Food »
Reduced Calorie Dry » 12kg Bag
",£54.96,http:,"
 Estimated dispatch within 24 working hours.
",110332
"
Hills Prescription Diet J/D Dog Food »
Wet » 12 x 370g Cans
",£24.53,http:,"
 Estimated dispatch within 24 working hours.
",110328
"
Hills Prescription Diet K/D Dog Food »
Dry » 2kg Bag
",£14.87,http:,"
 Estimated dispatch within 24 working hours.
",110248
"
Hills Prescription Diet K/D Dog Food »
Dry » 5kg Bag
",£32.17,http:,"
 Estimated dispatch within 2 working days.
",110249
"
Hills Prescription Diet K/D Dog Food »
Dry » 12kg Bag
",£54.90,http:,"
 Estimated dispatch within 24 working hours.
",117729
"
Hills Prescription Diet K/D Dog Food »
Wet » 12 x 370g Cans
",£23.51,http:,"
 Estimated dispatch within 24 working hours.
",110333
"
Hills Prescription Diet L/D Dog Food »
Dry » 2kg Bag
",£15.06,http:,"
 Estimated dispatch within 24 working hours.
",110338
"
Hills Prescription Diet L/D Dog Food »
Dry » 5kg Bag
",£33.29,http:,"
 Estimated dispatch within 24 working hours.
",110339
"
Hills Prescription Diet L/D Dog Food »
Dry » 12kg Bag
",£58.17,http:,"
 Estimated dispatch within 24 working hours.
",125889
"
Hills Prescription Diet L/D Dog Food »
Wet » 12 x 370g Cans
",£25.81,http:,"
 Estimated dispatch within 24 working hours.
",110336
"
Hills Prescription Metabolic Advanced Weight Dog Food »
Dry » 1.5kg Bag
",£11.14,http:,"
 Estimated dispatch within 24 working hours.
",142743
"
Hills Prescription Metabolic Advanced Weight Dog Food »
Dry » 4kg Bag
",£25.32,http:,"
 Estimated dispatch within 24 working hours.
",142741
"
Hills Prescription Metabolic Advanced Weight Dog Food »
Dry » 12kg Bag
",£53.94,http:,"
 Estimated dispatch within 24 working hours.
",142740
"
Hills Prescription Metabolic Advanced Weight Dog Food »
Mini Dry » 1.5kg Bag
",£10.53,http:,"
 Estimated dispatch within 24 working hours.
",151003
"
Hills Prescription Metabolic Advanced Weight Dog Food »
Mini Dry » 6kg Bag
",£36.85,http:,"
 Estimated dispatch within 24 working hours.
",151004
"
Hills Prescription Metabolic Advanced Weight Dog Food »
Wet » 12 x 370g Cans
",£25.87,http:,"
 Estimated dispatch within 24 working hours.
",142742
"
Hills Prescription Metabolic Advanced Weight Solution Dog Treats »
Dry » 220g Bag
",£3.99,http:,"
 Estimated dispatch within 24 working hours.
",151006
"
Hills Prescription Diet N/D Dog Food »
Wet » 12 x 360g Cans
",£26.77,http://static2.viovet.co.uk/pi/created_1350058434.png,"
 Estimated dispatch within 24 working hours.
",110340
"
Hills Prescription Diet R/D Dog Food »
Dry » 1.5kg Bag
",£11.19,http:,"
 Estimated dispatch within 24 working hours.
",110346
"
Hills Prescription Diet R/D Dog Food »
Dry » 4kg Bag
",£22.77,http:,"
 Estimated dispatch within 24 working hours.
",110347
"
Hills Prescription Diet R/D Dog Food »
Dry » 12kg Bag
",£47.88,http:,"
 Estimated dispatch within 24 working hours.
",110348
"
Hills Prescription Diet R/D Dog Food »
Mini Dry » 1.5kg Bag
",£10.41,http:,"
 Estimated dispatch within 24 working hours.
",117197
"
Hills Prescription Diet R/D Dog Food »
Mini Dry » 6kg Bag
",£34.63,http:,"
 Estimated dispatch within 24 working hours.
",117198
"
Hills Prescription Diet R/D Dog Food »
Wet » 12 x 350g Cans
",£23.62,http:,"
 Estimated dispatch within 24 working hours.
",110345
"
Hills Prescription Diet S/D Dog Food »
Wet » 12 x 370g Cans
",£25.07,http://static1.viovet.co.uk/pi/created_1350058633.png,"
 Estimated dispatch within 24 working hours.
",110349
"
Hills Prescription Diet T/D Dog Food »
Dry » 3kg Bag
",£21.97,http://static2.viovet.co.uk/pi/created_1350058690.png,"
 Estimated dispatch within 24 working hours.
",110351
"
Hills Prescription Diet T/D Dog Food »
Dry » 10kg Bag
",£55.45,http://static2.viovet.co.uk/pi/created_1350058690.png,"
 Estimated dispatch within 24 working hours.
",110350
"
Hills Prescription Diet T/D Dog Food »
Mini Dry » 3kg Bag
",£21.32,http://static2.viovet.co.uk/pi/created_1350058690.png,"
 Estimated dispatch within 24 working hours.
",110353
